label,message,label_num,message_length,processed_message
ham,"I call you later, don't have network. If urgnt, sms me.",0,55,call later n't network urgnt sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,real getting yo need 2 tickets one jacket done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,yes started send requests make pain came back back bed double coins factory got ta cash nitros
ham,I'm really not up to it still tonight babe,0,42,really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,41,ela kano il download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,58,yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,sorry pain ok meet another night spent late afternoon casualty means n't done stuff42moro includes time sheets sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves see smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,137,please call customer service representative 0800 169 6031 10am-9pm guaranteed 1000 cash 5000 prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,havent planning buy later check already lido got 530 show afternoon finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,158,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
ham,Watching telugu movie..wat abt u?,0,33,watching telugu movie wat abt
ham,i see. When we finish we have loads of loans to pay,0,51,see finish loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,178,hi wk ok hols yes bit run forgot hairdressers appointment four need get home shower beforehand cause prob
ham,I see a cup of coffee animation,0,31,see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,0,57,please n't text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,okay name ur price long legal wen pick ave ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,still looking car buy gone 4the driving test yet
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,wow right n't mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,Umma my life and vava umma love you lot dear,0,44,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,thanks lot wishes birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",0,43,aight hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,82,would ip address test considering computer n't minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,know grumpy old people mom like better lying always one play jokes
ham,Dont worry. I guess he's busy.,0,30,dont worry guess busy
ham,What is the plural of the noun research?,0,40,plural noun research
ham,Going for dinner.msg you after.,0,31,going dinner.msg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,ok wif cos like 2 try new things scared dun like mah cos said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,158,gent trying contact last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,wa ur openin sentence formal anyway fine juz tt eatin much puttin weight haha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,entered cabin pa said happy b'day boss felt special askd 4 lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,152,winner specially selected 2 receive 1000 4 holiday flights inc speak live operator 2 claim 0871277810910p/min 18
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,goodo yes must speak friday egg-potato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,hmm uncle informed paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,156,urgent mobile awarded 2000 bonus caller prize 5/9/03 final try contact call landline 09064019788 box42wr29c 150ppm
ham,here is my new address -apples&pairs&all that malarky,0,53,new address apples pairs malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,0,52,going sao mu today done 12
ham,Ü predict wat time ü'll finish buying?,0,38,predict wat time finish buying
ham,"Good stuff, will do.",0,20,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,know yetunde n't sent money yet sent text bother sending dont involve anything n't imposed anything first place apologise
ham,Are you there in room.,0,22,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,hey girl hope well del bak long time give call sum time lucyxx
ham,K..k:)how much does it cost?,0,28,much cost
ham,I'm home.,0,9,home
ham,"Dear, will call Tmorrow.pls accomodate.",0,39,dear call tmorrow.pls accomodate
ham,First answer my question.,0,25,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,125,sunshine quiz wkly win top sony dvd player know country algarve txt ansr 82277 1.50 sp tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p.msg 150p
ham,I only haf msn. It's yijue@hotmail.com,0,38,haf msn yijue hotmail.com
ham,He is there. You call and meet him,0,34,call meet
ham,No no. I will check all rooms befor activities,0,46,check rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,rcv msgs chat svc free hardcore services text go 69988 get nothing must age verify yr network try
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,85,got lazy type forgot lect saw pouch like nice
ham,"K, text me when you're on the way",0,33,text way
ham,"Sir, Waiting for your mail.",0,27,sir waiting mail
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,156,swt thought nver get tired little things 4 lovable persons coz somtimes little things occupy biggest part hearts gud ni8
ham,I know you are. Can you pls open the back?,0,42,know pls open back
ham,Yes see ya not on the dot,0,25,yes see ya dot
ham,Whats the staff name who is taking class for us?,0,48,whats staff name taking class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,freemsg n't replied text randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,ummma.will call check in.our life begin qatar pls pray hard
ham,K..i deleted my contact that why?,0,33,deleted contact
ham,Sindu got job in birla soft ..,0,30,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,0,45,wine flowing nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,yup thk cine better cos need 2 go 2 plaza mah
ham,Ok... Ur typical reply...,0,25,ok ur typical reply
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows i.ll see guess like things must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,0,28,aaooooright work
ham,I'm leaving my house now...,0,27,leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,hello love get interview today happy good boy think missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,145,winner specially selected 2 receive 1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,keep safe need miss already envy everyone see real life
ham,New car and house for my parents.:)i have only new job in hand:),0,64,new car house parents new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,love excited day spend make happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,pls stop bootydelious 32/f inviting friend reply yes-434 no-434 see www.sms.ac/u/bootydelious stop send stop frnd 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,bangbabes ur order way receive service msg 2 download ur content goto wap bangb tv ur mobile internet/service menu
ham,I place all ur points on e cultures module already.,0,51,place ur points cultures module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,156,urgent trying contact last weekends draw shows 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,hi frnd best way avoid missunderstding wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,67,great escape fancy bridge needs lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,0,59,yes completely form clark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",0,50,sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,94,hmmm thk sure got time hop ard ya go 4 free abt muz call discuss liao
ham,What time you coming down later? ,0,33,time coming later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,105,bloody hell cant believe forgot surname mr ill give clue spanish begins
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,well gon na finish bath good fine night
ham,Let me know when you've got the money so carlos can make the call,0,65,let know got money carlos make call
ham,U still going to the mall?,0,26,still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,turns friends staying whole show wo n't back til lt gt feel free go ahead smoke lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,0,66,text doesnt reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,hi spoke maneesha like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
ham,Lol no. U can trust me.,0,23,lol trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,65,ok gentleman treat dignity respect
ham,"He will, you guys close?",0,24,guys close
ham,Going on nothing great.bye,0,26,going nothing great.bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,hello handsome finding job lazy working towards getting back net mummy boytoy miss
ham,"Haha awesome, be there in a minute",0,34,haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,147,please call customer service representative freephone 0808 145 4742 9am-11pm guaranteed 1000 cash 5000 prize
ham,Have you got Xmas radio times. If not i will get it now,0,55,got xmas radio times get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,jus reached home go bathe first sis using net tell finishes
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,unique enough find 30th august www.areyouunique.co.uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
ham,Hi :)finally i completed the course:),0,37,hi finally completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,stop however suggest stays someone able give ors every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,hope settled new school year wishin gr8 day
ham,Gud mrng dear hav a nice day,0,28,gud mrng dear hav nice day
ham,Did u got that persons story,0,28,got persons story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,64,hamster dead hey tmr meet 1pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",0,40,found enc lt gt
ham,I sent you  &lt;#&gt;  bucks,0,28,sent lt gt bucks
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,hello darlin ive finished college txt finish love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
ham,Goodmorning sleeping ga.,0,24,goodmorning sleeping ga
ham,U call me alter at 11 ok.,0,25,call alter 11 ok
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,63,say like dat dun buy ericsson oso oredi lar
ham,"Aight yo, dats straight dogg",0,28,aight yo dats straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,86,please give us connection today lt decimal gt refund bill
ham,Both :) i shoot big loads so get ready!,0,39,shoot big loads get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,73,bruv hope great break rewarding semester
ham,Home so we can always chat,0,26,home always chat
ham,K:)k:)good:)study well.,0,23,good study well
ham,Yup... How ü noe leh...,0,23,yup noe leh
ham,Sounds great! Are you home now?,0,31,sounds great home
ham,Finally the match heading towards draw as your prediction.,0,58,finally match heading towards draw prediction
ham,Tired. I haven't slept well the past few nights.,0,48,tired n't slept well past nights
ham,Easy ah?sen got selected means its good..,0,41,easy ah sen got selected means good
ham,I have to take exam with march 3,0,32,take exam march 3
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,159,yeah think use gt atm register sure anyway help let know sure ready
ham,Ok no prob. Take ur time.,0,25,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,161,os called ubandu run without installing hard disk use os copy important files system give repair shop
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,119,say leh course nothing happen lar say romantic jus bit lor thk nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,142,500 new mobiles 2004 must go txt nokia 89545 collect today 1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
ham,Would really appreciate if you call me. Just need someone to talk to.,0,69,would really appreciate call need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,137,meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign horo aries
ham,Hey company elama po mudyadhu.,0,30,hey company elama po mudyadhu
